2024-04-16 at 14:49:01 | INFO | (45.4%) (step=0000900) Train Loss: 0.00242503, Train Steps/Sec: 2.33
2024-04-16 at 14:49:06 | INFO | (47.0%) (step=0000910) Train Loss: 0.00309984, Train Steps/Sec: 2.34
2024-04-16 at 14:49:10 | INFO | (48.6%) (step=0000920) Train Loss: 0.00261573, Train Steps/Sec: 2.34
2024-04-16 at 14:49:14 | INFO | (50.2%) (step=0000930) Train Loss: 0.00244039, Train Steps/Sec: 2.33
2024-04-16 at 14:49:18 | INFO | (51.9%) (step=0000940) Train Loss: 0.00250831, Train Steps/Sec: 2.34
2024-04-16 at 14:49:23 | INFO | (53.5%) (step=0000950) Train Loss: 0.00234670, Train Steps/Sec: 2.36
2024-04-16 at 14:49:27 | INFO | (55.1%) (step=0000960) Train Loss: 0.00304965, Train Steps/Sec: 2.35
2024-04-16 at 14:49:31 | INFO | (56.7%) (step=0000970) Train Loss: 0.00226518, Train Steps/Sec: 2.34
2024-04-16 at 14:49:35 | INFO | (58.3%) (step=0000980) Train Loss: 0.00244305, Train Steps/Sec: 2.39
2024-04-16 at 14:49:40 | INFO | (59.9%) (step=0000990) Train Loss: 0.00216306, Train Steps/Sec: 2.33
2024-04-16 at 14:49:44 | INFO | (61.6%) (step=0001000) Train Loss: 0.00247812, Train Steps/Sec: 2.33
2024-04-16 at 14:49:48 | INFO | (63.2%) (step=0001010) Train Loss: 0.00324726, Train Steps/Sec: 2.39
2024-04-16 at 14:49:52 | INFO | (64.8%) (step=0001020) Train Loss: 0.00241664, Train Steps/Sec: 2.38
2024-04-16 at 14:49:57 | INFO | (66.4%) (step=0001030) Train Loss: 0.00277412, Train Steps/Sec: 2.31
2024-04-16 at 14:50:01 | INFO | (68.0%) (step=0001040) Train Loss: 0.00223746, Train Steps/Sec: 2.32
2024-04-16 at 14:50:05 | INFO | (69.6%) (step=0001050) Train Loss: 0.00234361, Train Steps/Sec: 2.33
2024-04-16 at 14:50:10 | INFO | (71.2%) (step=0001060) Train Loss: 0.00386052, Train Steps/Sec: 2.33
2024-04-16 at 14:50:14 | INFO | (72.9%) (step=0001070) Train Loss: 0.00268505, Train Steps/Sec: 2.31
2024-04-16 at 14:50:18 | INFO | (74.5%) (step=0001080) Train Loss: 0.00206341, Train Steps/Sec: 2.35
2024-04-16 at 14:50:22 | INFO | (76.1%) (step=0001090) Train Loss: 0.00223820, Train Steps/Sec: 2.34
2024-04-16 at 14:50:27 | INFO | (77.7%) (step=0001100) Train Loss: 0.00203214, Train Steps/Sec: 2.31
2024-04-16 at 14:50:31 | INFO | (79.3%) (step=0001110) Train Loss: 0.00212660, Train Steps/Sec: 2.33
2024-04-16 at 14:50:35 | INFO | (80.9%) (step=0001120) Train Loss: 0.00291667, Train Steps/Sec: 2.34
2024-04-16 at 14:50:40 | INFO | (82.6%) (step=0001130) Train Loss: 0.00197838, Train Steps/Sec: 2.32
2024-04-16 at 14:50:44 | INFO | (84.2%) (step=0001140) Train Loss: 0.00234939, Train Steps/Sec: 2.34
2024-04-16 at 14:50:48 | INFO | (85.8%) (step=0001150) Train Loss: 0.00196307, Train Steps/Sec: 2.31
2024-04-16 at 14:50:52 | INFO | (87.4%) (step=0001160) Train Loss: 0.00207699, Train Steps/Sec: 2.34
2024-04-16 at 14:50:57 | INFO | (89.0%) (step=0001170) Train Loss: 0.00181404, Train Steps/Sec: 2.33
2024-04-16 at 14:51:01 | INFO | (90.6%) (step=0001180) Train Loss: 0.00190374, Train Steps/Sec: 2.34
2024-04-16 at 14:51:05 | INFO | (92.2%) (step=0001190) Train Loss: 0.00190631, Train Steps/Sec: 2.36
